"PERIODO","MES","PAIS_ORIGEN","ARANCEL","TOTAL_CIF_ITEM_US$","CANTIDAD_MERCANCIA"
"2015","08","ALEMANIA","69039090",8644,5
"2015","08","ALBANIA","61091011",50,45
"2015","08","ALEMANIA","39235090",158111,99
"2015","08","ALEMANIA","27101963",1217171,1
"2015","08","ALEMANIA","95030090",1092970,77
"2015","08","ALEMANIA","72085100",585407,62
"2015","08","ALEMANIA","85392100",74821,39
"2015","08","ALEMANIA","73110030",1809,35
"2015","08","ALEMANIA","29041000",8195,34
"2015","08","ALEMANIA","29224900",22674,61
"2015","08","ALEMANIA","29094400",425,59
"2015","08","ALEMANIA","29332900",1301,25
"2015","08","ALEMANIA","31051010",1705,68
"2015","08","ALEMANIA","28273920",3300,44
"2015","08","ALEMANIA","28469000",3201,42
"2015","08","ALEMANIA","29333100",59,99
"2015","08","ALEMANIA","28432100",38879,43
"2015","08","ALEMANIA","29309099",15231,1
"2015","08","ALEMANIA","29334900",1708,64
"2015","08","ALEMANIA","54023100",96536,87
"2015","08","ALEMANIA","39069000",408299,97
"2015","08","ALEMANIA","29146100",19,35
"2015","08","ALEMANIA","28415000",7084,83
"2015","08","ALEMANIA","29051690",305,34
"2015","08","ALEMANIA","29032300",8313,61
"2015","08","ALEMANIA","28142000",6481,31
"2015","08","ALEMANIA","28273990",5189,9
"2015","08","ALEMANIA","29181390",519,91
"2015","08","ALEMANIA","29021100",189,14
"2015","08","ALEMANIA","37079090",20446,61
"2015","08","ALEMANIA","40024900",175403,75
"2015","08","ALEMANIA","39201020",483933,46
"2015","08","ALEMANIA","85015220",176146,73
"2015","08","ALEMANIA","85411000",2178,96
"2015","08","ALEMANIA","90269000",54403,15
"2015","08","ALEMANIA","87114000",1137495,2
"2015","08","ALEMANIA","20041000",437959,42
"2015","08","ALEMANIA","84294090",84876,25
"2015","08","ALEMANIA","35069120",233161,31
"2015","08","ALEMANIA","48025510",142777,61
"2015","08","ALEMANIA","82033000",6317,61
"2015","08","ALEMANIA","87089314",16617,5
"2015","08","ALEMANIA","84839000",419696,89
"2015","08","ALEMANIA","73151100",266756,92
"2015","08","ALEMANIA","90221300",207241,86
"2015","08","ALEMANIA","73181600",53681,59
"2015","08","ALEMANIA","84822000",175202,93
"2015","08","ALEMANIA","40092200",27940,73
"2015","08","ALEMANIA","84122900",272651,65
"2015","08","ALEMANIA","85122040",11355,97
"2015","08","ALEMANIA","39202020",290771,43
"2015","08","ALEMANIA","84819000",262972,79
"2015","08","ALEMANIA","84138100",106269,47
"2015","08","ALEMANIA","87051090",1150000,1
"2015","08","ALEMANIA","84283310",30996,68
"2015","08","ALEMANIA","73269000",144195,95
"2015","08","ALEMANIA","69022000",83451,71
"2015","08","ALEMANIA","84295210",7731038,86
"2015","08","ALEMANIA","20019030",14550,99
"2015","08","ALEMANIA","39191040",61918,11
"2015","08","ALEMANIA","85015210",67321,38
"2015","08","ALEMANIA","38089319",934512,44
"2015","08","ALEMANIA","90282010",25493,14
"2015","08","ALEMANIA","32100000",68458,14
"2015","08","ALEMANIA","84332000",193235,21
"2015","08","ALEMANIA","84143090",215898,13
"2015","08","ALEMANIA","38089349",187052,35
"2015","08","ALEMANIA","87089313",12389,31
"2015","08","ALEMANIA","73066100",82,79
"2015","08","ALEMANIA","39233030",149650,16
"2015","08","ALEMANIA","39174030",20435,69
"2015","08","ALEMANIA","84283390",581527,54
"2015","08","ALEMANIA","35069110",17254,42
"2015","08","ALEMANIA","48102210",479131,1
"2015","08","ALEMANIA","96035000",30512,5
"2015","08","ALEMANIA","63079000",64989,46
"2015","08","ALEMANIA","73202000",118324,3
"2015","08","ALEMANIA","11052000",193927,5
"2015","08","ALEMANIA","61082200",7284,44
"2015","08","ALEMANIA","48205000",5956,63
"2015","08","ALEMANIA","91070000",36075,37
"2015","08","ALEMANIA","40111000",107420,5
"2015","08","ALEMANIA","85075000",8208,6
"2015","08","ALEMANIA","85181000",5081,71
"2015","08","ALEMANIA","28362030",10628,24
"2015","08","ALEMANIA","39205100",10253,85
"2015","08","ALEMANIA","29212100",57,43
"2015","08","ALEMANIA","28100020",4283,46
"2015","08","ALEMANIA","28461000",86,9
"2015","08","ALEMANIA","28275100",337,98
"2015","08","ALEMANIA","96089900",461,4
"2015","08","ALEMANIA","73181200",2370,82
"2015","08","ALEMANIA","84672120",299386,52
"2015","08","ALEMANIA","22029090",17889,52
"2015","08","ALEMANIA","84099910",33363,38
"2015","08","ALEMANIA","84831020",179106,31
"2015","08","ALEMANIA","85184000",31628,6
"2015","08","ALEMANIA","85176210",142102,73
"2015","08","ALEMANIA","30043910",1082571,82
"2015","08","ALEMANIA","30041010",1600,26
"2015","08","ALEMANIA","32041910",345193,88
"2015","08","ALEMANIA","94029080",18376,55
"2015","08","ALEMANIA","48183020",5861,34
"2015","08","ALEMANIA","44012290",2455,31
"2015","08","ALEMANIA","85118000",29242,85
"2015","08","ALEMANIA","94032010",7602,6
"2015","08","ALEMANIA","33073000",1491,66
"2015","08","ALEMANIA","39019000",89385,51
"2015","08","ALEMANIA","84099130",18002,52
"2015","08","ALEMANIA","28273500",33,22
"2015","08","ALEMANIA","34021300",133918,45
"2015","08","ALEMANIA","29051210",2530,85
"2015","08","ALEMANIA","85269200",28579,18
"2015","08","ALEMANIA","33029090",6391,13
"2015","08","ALEMANIA","33059090",104187,42
"2015","08","ALEMANIA","76071100",1958,9
"2015","08","ALEMANIA","32064900",82909,77
"2015","08","ALEMANIA","94031000",25680,52
"2015","08","ALEMANIA","29054900",37869,31
"2015","08","ALEMANIA","22087000",163167,58
"2015","08","ALEMANIA","72125000",10334,52
"2015","08","ALEMANIA","83021000",87388,59
"2015","08","ALEMANIA","56021000",6748,5
"2015","08","ALEMANIA","85161090",6392,86
"2015","08","ALEMANIA","29394200",20540,58
"2015","08","ALEMANIA","90184900",140972,46
"2015","08","ALEMANIA","84253990",1564,72
"2015","08","ALEMANIA","85176100",536,52
"2015","08","ALEMANIA","30021020",633349,93
"2015","08","ALEMANIA","85285111",10939,4
"2015","08","ALEMANIA","84834029",6965,53
"2015","08","ALEMANIA","49019991",2425,31
"2015","08","ALEMANIA","49019939",1478,95
"2015","08","ALEMANIA","85258030",3296,18
"2015","08","ALEMANIA","90011000",1830,99
"2015","08","ALEMANIA","28252000",48,0
"2015","08","ALEMANIA","29211190",104,7
"2015","08","ALEMANIA","28419090",32,19
"2015","08","ALEMANIA","73151200",38612,27
"2015","08","ALEMANIA","84144010",2309,27
"2015","08","ALEMANIA","87089930",4683,91
"2015","08","ALEMANIA","90172000",6036,17
"2015","08","ALEMANIA","82075090",162760,89
"2015","08","ALEMANIA","85366900",75097,81
"2015","08","ALEMANIA","84198100",93425,89
"2015","08","ALEMANIA","85235100",46232,72
"2015","08","ALEMANIA","82090000",179975,1
"2015","08","ALEMANIA","22086000",73,71
"2015","08","ALEMANIA","42029210",11337,11
"2015","08","ALEMANIA","78060000",625,76
"2015","08","ALEMANIA","87120010",7427,6
"2015","08","ALEMANIA","25174100",1014,44
"2015","08","ALEMANIA","29393000",606925,71
"2015","08","ALEMANIA","49100000",3197,97
"2015","08","ALEMANIA","85447000",24296,23
"2015","08","ALEMANIA","07129099",16314,99
"2015","08","ALEMANIA","09041200",268,45
"2015","08","ALEMANIA","83099090",176997,86
"2015","08","ALEMANIA","44101100",1694,12
"2015","08","ALEMANIA","73102990",957,42
"2015","08","ALEMANIA","28529000",855,22
"2015","08","ALEMANIA","62046210",1722,63
"2015","08","ALEMANIA","87089960",18316,94
"2015","08","ALEMANIA","95063200",350,14
"2015","08","ALEMANIA","84362100",353239,87
"2015","08","ALEMANIA","76161000",2247,7
"2015","08","ALEMANIA","85072000",9792,9
"2015","08","ALEMANIA","39173930",5680,8
"2015","08","ALEMANIA","70140000",1734,35
"2015","08","ALEMANIA","90303300",29854,79
"2015","08","ALEMANIA","38159000",9071,25
"2015","08","ALEMANIA","84219100",198257,61
"2015","08","ALEMANIA","96086000",3645,81
"2015","08","ALEMANIA","63052000",17,85
"2015","08","ALEMANIA","09022090",8561,79
"2015","08","ALEMANIA","69120090",664,27
"2015","08","ALEMANIA","39252000",1369,13
"2015","08","ALEMANIA","93040000",19406,54
"2015","08","ALEMANIA","39229000",1953,66
"2015","08","ALEMANIA","48239091",19080,52
"2015","08","ALEMANIA","87084090",118117,4
"2015","08","ALEMANIA","85392900",42691,75
"2015","08","ALEMANIA","85151100",17589,87
"2015","08","ALEMANIA","84243000",46539,58
"2015","08","ALEMANIA","83017000",6615,2
"2015","08","ALEMANIA","40151990",329,58
"2015","08","ALEMANIA","84682000",407,37
"2015","08","ALEMANIA","94051030",17650,1
"2015","08","ALEMANIA","35029000",1416,99
"2015","08","ALEMANIA","09019000",147,87
"2015","08","ALEMANIA","85182900",659,95
"2015","08","ALEMANIA","56075090",1795,77
"2015","08","ALEMANIA","29399990",138,19
"2015","08","ALEMANIA","73072900",28931,12
"2015","08","ALEMANIA","84715000",110488,84
"2015","08","ALEMANIA","85364910",9913,97
"2015","08","ALEMANIA","30021010",1736008,99
"2015","08","ALEMANIA","84399100",155739,9
"2015","08","ALEMANIA","95061900",615,61
"2015","08","ALEMANIA","83119000",964,36
"2015","08","ALEMANIA","29062900",124,34
"2015","08","ALEMANIA","90022000",774,3
"2015","08","ALEMANIA","90241000",22566,21
"2015","08","ALEMANIA","83030000",13003,5
"2015","08","ALEMANIA","62033300",6507,96
"2015","08","ALEMANIA","84529000",2064,16
"2015","08","ALEMANIA","42022210",121,1
"2015","08","ALEMANIA","48203090",169,64
"2015","08","ALEMANIA","85393200",1600,81
"2015","08","ALEMANIA","70193100",1108,61
"2015","08","ALEMANIA","84082040",100377,33
"2015","08","ALEMANIA","28289000",4575,12
"2015","08","ALEMANIA","90101000",6388,4
"2015","08","ALEMANIA","85258020",15043,72
"2015","08","ALEMANIA","90069100",369,0
"2015","08","ALEMANIA","84719020",3529,38
"2015","08","ALEMANIA","52093100",1414,4
"2015","08","ALEMANIA","39123920",65,38
"2015","08","ALEMANIA","33072000",222227,69
"2015","08","ALEMANIA","84659190",3912,5
"2015","08","ALEMANIA","90158000",115270,79
"2015","08","ALEMANIA","29182300",1998,38
"2015","08","ALEMANIA","84324000",24833,98
"2015","08","ALEMANIA","84662000",27826,97
"2015","08","ALEMANIA","87082970",3775,35
"2015","08","ALEMANIA","85013220",22421,41
"2015","08","ALEMANIA","90183930",21891,1
"2015","08","ALEMANIA","30064010",181353,37
"2015","08","ALEMANIA","31049090",115593,97
"2015","08","ALEMANIA","62044900",492,24
"2015","08","ALEMANIA","62045200",749,84
"2015","08","ALEMANIA","61045300",1202,52
"2015","08","ALEMANIA","85437010",1294,74
"2015","08","ALEMANIA","90268000",28991,52
"2015","08","ALEMANIA","44119220",81764,96
"2015","08","ALEMANIA","84798930",169577,17
"2015","08","ALEMANIA","82015000",15000,42
"2015","08","ALEMANIA","82013000",2947,85
"2015","08","ALEMANIA","87021099",1736220,54
"2015","08","ALEMANIA","56039290",3160,6
"2015","08","ALEMANIA","11081200",20353,24
"2015","08","ALEMANIA","94029010",123835,48
"2015","08","ALEMANIA","34021200",27351,19
"2015","08","ALEMANIA","84196000",50506,12
"2015","08","ALEMANIA","72124000",20121,62
"2015","08","ALEMANIA","89071000",4629,26
"2015","08","ALEMANIA","83026000",2047,72
"2015","08","ALEMANIA","62121090",1375,42
"2015","08","ALEMANIA","29362300",528,7
"2015","08","ALEMANIA","90211000",83013,23
"2015","08","ALEMANIA","28521000",816,68
"2015","08","ALEMANIA","25010040",4255,69
"2015","08","ALEMANIA","29321100",4976,77
"2015","08","ALEMANIA","37013000",202450,42
"2015","08","ALEMANIA","85043100",13531,41
"2015","08","ALEMANIA","32141000",157463,85
"2015","08","ALEMANIA","87115000",1439507,42
"2015","08","ALEMANIA","87087020",112471,92
"2015","08","ALEMANIA","87085000",106326,93
"2015","08","ALEMANIA","63071000",42305,65
"2015","08","ALEMANIA","82079000",121673,66
"2015","08","ALEMANIA","82054000",20262,27
"2015","08","ALEMANIA","39233020",5883,68
"2015","08","ALEMANIA","34059000",11453,34
"2015","08","ALEMANIA","27101999",127858,2
"2015","08","ALEMANIA","48182030",26661,37
"2015","08","ALEMANIA","20011000",235303,21
"2015","08","ALEMANIA","84439100",77238,76
"2015","08","ALEMANIA","84223020",155533,43
"2015","08","ALEMANIA","72123000",58112,74
"2015","08","ALEMANIA","48119099",59617,16
"2015","08","ALEMANIA","85364990",293449,94
"2015","08","ALEMANIA","90183910",120709,51
"2015","08","ALEMANIA","84879010",37823,44
"2015","08","ALEMANIA","84148090",368266,81
"2015","08","ALEMANIA","84679900",24573,91
"2015","08","ALEMANIA","84251100",287115,81
"2015","08","ALEMANIA","29093090",2747,7
"2015","08","ALEMANIA","81052000",4502,6
"2015","08","ALEMANIA","68138900",207,4
"2015","08","ALEMANIA","85185000",165,63
"2015","08","ALEMANIA","38089299",123,29
"2015","08","ALEMANIA","29336100",75099,60000
"2015","08","ALEMANIA","31024000",172704,13
"2015","08","ALEMANIA","87032391",5920025,7
"2015","08","ALEMANIA","87033390",1342576,32
"2015","08","ALEMANIA","82055900",39767,56
"2015","08","ALEMANIA","73181500",1095768,94
"2015","08","ALEMANIA","87081010",33774,87
"2015","08","ALEMANIA","85361010",20301,48
"2015","08","ALEMANIA","85444991",58491,81
"2015","08","ALEMANIA","84136000",288824,95
"2015","08","ALEMANIA","73083000",4186,15
"2015","08","ALEMANIA","76109000",139234,18
"2015","08","ALEMANIA","39269090",856490,44
"2015","08","ALEMANIA","85452000",40994,52
"2015","08","ALEMANIA","90309000",5239,79
"2015","08","ALEMANIA","85176220",4395,55
"2015","08","ALEMANIA","09023010",2083,91
"2015","08","ALEMANIA","84733000",37436,14
"2015","08","ALEMANIA","84039000",15800,13
"2015","08","ALEMANIA","61153000",11,67
"2015","08","ALEMANIA","85413000",14334,61
"2015","08","ALEMANIA","84663000",7427,57
"2015","08","ALEMANIA","73262000",15852,7
"2015","08","ALEMANIA","90118000",195682,29
"2015","08","ALEMANIA","39140010",1264,7
"2015","08","ALEMANIA","62034299",128,48
"2015","08","ALEMANIA","30031020",346,63
"2015","08","ALEMANIA","64029992",708,61
"2015","08","ALEMANIA","90142000",1017,75
"2015","08","ALEMANIA","96085000",221,58
"2015","08","ALEMANIA","71081300",78,1
"2015","08","ALEMANIA","39173310",5682,18
"2015","08","ALEMANIA","28332400",120,7
"2015","08","ALEMANIA","29252990",2072,63
"2015","08","ALEMANIA","29171900",31,28
"2015","08","ALEMANIA","44186000",22202,98
"2015","08","ALEMANIA","73182400",22260,84
"2015","08","ALEMANIA","93039000",7583,53
"2015","08","ALEMANIA","39011010",182697,65
"2015","08","ALEMANIA","38029010",6498,93
"2015","08","ALEMANIA","85372010",427515,53
"2015","08","ALEMANIA","85459000",21959,79
"2015","08","ALEMANIA","96082020",6908,92
"2015","08","ALEMANIA","73071900",10998,69
"2015","08","ALEMANIA","84131100",296865,42
"2015","08","ALEMANIA","27101930",20039,59
"2015","08","ALEMANIA","90303900",10775,98
"2015","08","ALEMANIA","29270000",197,19
"2015","08","ALEMANIA","29241910",526,52
"2015","08","ALEMANIA","68061000",47536,34
"2015","08","ALEMANIA","84672999",58557,81
"2015","08","ALEMANIA","81043000",23,21
"2015","08","ALEMANIA","34052000",227,91
"2015","08","ALEMANIA","00309900",46585,54
"2015","08","ALEMANIA","72051000",4273,75
"2015","08","ALEMANIA","28391100",7792,36
"2015","08","ALEMANIA","36061000",67,29
"2015","08","ALEMANIA","39174020",36620,52
"2015","08","ALEMANIA","96091020",583,7
"2015","08","ALEMANIA","68053000",17269,19
"2015","08","ALEMANIA","28352600",19800,8250
"2015","08","ALEMANIA","90261090",120608,66
"2015","08","ALEMANIA","85045000",2246,17
"2015","08","ALEMANIA","94035090",8551,85
"2015","08","ALEMANIA","73170090",13996,54
"2015","08","ALEMANIA","73101090",32071,68
"2015","08","ALEMANIA","34049010",49948,64
"2015","08","ALEMANIA","10041000",22000,22000
"2015","08","ALEMANIA","94013000",15030,8
"2015","08","ALEMANIA","94033090",1406,1
"2015","08","ALEMANIA","94036010",261,71
"2015","08","ALEMANIA","94016990",15061,3
"2015","08","ALEMANIA","18063210",35890,61
"2015","08","ALEMANIA","18069000",176449,59
"2015","08","ALEMANIA","73063000",2331,19
"2015","08","ALEMANIA","39209200",73379,86
"2015","08","ALEMANIA","85166090",12157,98
"2015","08","ALEMANIA","32151100",38774,28
"2015","08","ALEMANIA","28030000",6755,71
"2015","08","ALEMANIA","31023000",2803,49
"2015","08","ALEMANIA","84729090",7784,88
"2015","08","ALEMANIA","84411090",798,32
"2015","08","ALEMANIA","28530090",1856,43
"2015","08","ALEMANIA","73089000",471847,64
"2015","08","ALEMANIA","87083010",81158,65
"2015","08","ALEMANIA","27101964",199882,66
"2015","08","ALEMANIA","27101969",11906,94
"2015","08","ALEMANIA","29141900",778,49
"2015","08","ALEMANIA","29329990",230,73
"2015","08","ALEMANIA","28151100",308,1
"2015","08","ALEMANIA","28061000",34890,67
"2015","08","ALEMANIA","13023100",1030,71
"2015","08","ALEMANIA","29337900",881,59
"2015","08","ALEMANIA","32041300",1209,1
"2015","08","ALEMANIA","48119091",148301,99
"2015","08","ALEMANIA","28439000",95,78
"2015","08","ALEMANIA","91052100",639,96
"2015","08","ALEMANIA","82119400",6227,19
"2015","08","ALEMANIA","85049000",146775,5
"2015","08","ALEMANIA","90303100",20695,2
"2015","08","ALEMANIA","38089199",230809,76
"2015","08","ALEMANIA","61099021",14800,21
"2015","08","ALEMANIA","61102000",7180,22
"2015","08","ALEMANIA","11072000",3835,28
"2015","08","ALEMANIA","19019090",975,72
"2015","08","ALEMANIA","48232000",489038,52
"2015","08","ALEMANIA","28352900",1476,720
"2015","08","ALEMANIA","85015392",229,5
"2015","08","ALEMANIA","30061000",27667,3
"2015","08","ALEMANIA","84713000",119832,39
"2015","08","ALEMANIA","33042000",139462,79
"2015","08","ALEMANIA","56039210",44718,78
"2015","08","ALEMANIA","84671110",2772,29
"2015","08","ALEMANIA","82023900",58159,44
"2015","08","ALEMANIA","84335990",3324,12
"2015","08","ALEMANIA","40116100",16162,34
"2015","08","ALEMANIA","32110000",178,17
"2015","08","ALEMANIA","32131000",594,57
"2015","08","ALEMANIA","12129900",953,9
"2015","08","ALEMANIA","76130000",142,22
"2015","08","ALEMANIA","39044000",9889,1
"2015","08","ALEMANIA","90200022",2714,78
"2015","08","ALEMANIA","33074900",246,97
"2015","08","ALEMANIA","68042100",61875,86
"2015","08","ALEMANIA","44119290",840190,54
"2015","08","ALEMANIA","73181400",9036,97
"2015","08","ALEMANIA","73044900",12031,78
"2015","08","ALEMANIA","84159000",3904,11
"2015","08","ALEMANIA","27121000",42972,74
"2015","08","ALEMANIA","74071090",109825,17
"2015","08","ALEMANIA","30045020",83535,57
"2015","08","ALEMANIA","85109000",2597,57
"2015","08","ALEMANIA","45019000",4382,45
"2015","08","ALEMANIA","62046294",1376,44
"2015","08","ALEMANIA","62044200",3832,34
"2015","08","ALEMANIA","61046300",371,23
"2015","08","ALEMANIA","62021200",318,31
"2015","08","ALEMANIA","62105000",309,47
"2015","08","ALEMANIA","70172000",17729,9
"2015","08","ALEMANIA","40021910",417303,39
"2015","08","ALEMANIA","30059020",2802,89
"2015","08","ALEMANIA","38160030",10912,65
"2015","08","ALEMANIA","90178000",7790,3
"2015","08","ALEMANIA","84189900",18070,76
"2015","08","ALEMANIA","87082930",17700,21
"2015","08","ALEMANIA","96099000",41999,4
"2015","08","ALEMANIA","85444999",59667,68
"2015","08","ALEMANIA","73145000",23785,96
"2015","08","ALEMANIA","90132000",7973,1
"2015","08","ALEMANIA","44111400",46190,6
"2015","08","ALEMANIA","30049010",6440218,86
"2015","08","ALEMANIA","84242000",6446,3
"2015","08","ALEMANIA","90058000",175,86
"2015","08","ALEMANIA","39074000",85906,56
"2015","08","ALEMANIA","65061000",66650,1
"2015","08","ALEMANIA","87089400",25731,42
"2015","08","ALEMANIA","95069990",122142,93
"2015","08","ALEMANIA","85363090",54038,13
"2015","08","ALEMANIA","87169040",430,46
"2015","08","ALEMANIA","38119090",55907,8
"2015","08","ALEMANIA","97011000",5089,45
"2015","08","ALEMANIA","84022000",175,28
"2015","08","ALEMANIA","64031900",572,75
"2015","08","ALEMANIA","68159900",40059,38
"2015","08","ALEMANIA","31059020",20136,24000
"2015","08","ALEMANIA","73158990",62680,88
"2015","08","ALEMANIA","00330100",105580,93
"2015","08","ALEMANIA","40169910",124922,41
"2015","08","ALEMANIA","44013900",12500,67
"2015","08","ALEMANIA","84622900",38618,24
"2015","08","ALEMANIA","40169990",280177,58
"2015","08","ALEMANIA","84195000",469977,47
"2015","08","ALEMANIA","84314390",95322,6
"2015","08","ALEMANIA","73158200",47470,39
"2015","08","ALEMANIA","84231000",4927,95
"2015","08","ALEMANIA","28444000",6847,52
"2015","08","ALEMANIA","29379000",2565,0
"2015","08","ALEMANIA","90189030",10081,73
"2015","08","ALEMANIA","49070090",1585,32
"2015","08","ALEMANIA","90314990",46600,42
"2015","08","ALEMANIA","90314910",2508,49
"2015","08","ALEMANIA","34051010",220,1
"2015","08","ALEMANIA","40169500",13404,9
"2015","08","ALEMANIA","52113100",643,62
"2015","08","ALEMANIA","84139200",1055,65
"2015","08","ALEMANIA","29420000",5823,34
"2015","08","ALEMANIA","31022100",186,84
"2015","08","ALEMANIA","90214000",58829,12
"2015","08","ALEMANIA","84772000",4856,79
"2015","08","ALEMANIA","84433900",2604,67
"2015","08","ALEMANIA","96190090",579,7
"2015","08","ALEMANIA","84241000",889,93
"2015","08","ALEMANIA","74102100",1699,6
"2015","08","ALEMANIA","93070000",3778,17
"2015","08","ALEMANIA","38119040",3251,67
"2015","08","ALEMANIA","17029010",40209,56
"2015","08","ALEMANIA","48102910",113155,65
"2015","08","ALEMANIA","70132800",51187,52
"2015","08","ALEMANIA","70134900",6718,24
"2015","08","ALEMANIA","85177000",20754,5
"2015","08","ALEMANIA","73182100",23495,59
"2015","08","ALEMANIA","90212900",44275,99
"2015","08","ALEMANIA","29089900",88,27
"2015","08","ALEMANIA","84433213",6122,89
"2015","08","ALEMANIA","90291000",5831,11
"2015","08","ALEMANIA","85340000",43266,9
"2015","08","ALEMANIA","72222000",9550,78
"2015","08","ALEMANIA","85068090",2502,47
"2015","08","ALEMANIA","73199000",1286,98
"2015","08","ALEMANIA","85229000",4278,33
"2015","08","ALEMANIA","30029090",111321,74
"2015","08","ALEMANIA","85394100",13974,7
"2015","08","ALEMANIA","84714190",19432,24
"2015","08","ALEMANIA","94054010",18003,3
"2015","08","ALEMANIA","90275000",40839,35
"2015","08","ALEMANIA","85311010",4441,58
"2015","08","ALEMANIA","12099124",102,7
"2015","08","ALEMANIA","90119000",9424,58
"2015","08","ALEMANIA","84718090",1247,3
"2015","08","ALEMANIA","79039000",49,2
"2015","08","ALEMANIA","62059000",196,58
"2015","08","ALEMANIA","12093090",215,8
"2015","08","ALEMANIA","49090000",825,69
"2015","08","ALEMANIA","84483200",5513,21
"2015","08","ALEMANIA","82041100",42920,8
"2015","08","ALEMANIA","84132000",1509,44
"2015","08","ALEMANIA","21011119",76069,95
"2015","08","ALEMANIA","21012010",11423,61
"2015","08","ALEMANIA","84729010",2857986,36
"2015","08","ALEMANIA","90181200",8926,41
"2015","08","ALEMANIA","70171000",8603,67
"2015","08","ALEMANIA","49011090",1117,84
"2015","08","ALEMANIA","39079900",166844,91
"2015","08","ALEMANIA","30049020",144040,48
"2015","08","ALEMANIA","82119300",4956,88
"2015","08","ALEMANIA","49119100",2337,54
"2015","08","ALEMANIA","28331100",887,66
"2015","08","ALEMANIA","28500000",121,68
"2015","08","ALEMANIA","28364000",562,26
"2015","08","ALEMANIA","29042040",13,25
"2015","08","ALEMANIA","68109900",26020,78
"2015","08","ALEMANIA","29031300",2893,42
"2015","08","ALEMANIA","29051400",2418,8
"2015","08","ALEMANIA","85446010",603,89
"2015","08","ALEMANIA","94017990",5405,93
"2015","08","ALEMANIA","94018090",2699,85
"2015","08","ALEMANIA","32151900",283776,11
"2015","08","ALEMANIA","48070000",320092,86
"2015","08","ALEMANIA","73239300",18371,32
"2015","08","ALEMANIA","73239900",10342,22
"2015","08","ALEMANIA","87168090",220215,58
"2015","08","ALEMANIA","27030000",34189,34
"2015","08","ALEMANIA","38200000",6497,49
"2015","08","ALEMANIA","48211010",45102,67
"2015","08","ALEMANIA","73110020",1525,57
"2015","08","ALEMANIA","29042090",60,37
"2015","08","ALEMANIA","29211999",302,96
"2015","08","ALEMANIA","31054000",207,36
"2015","08","ALEMANIA","28342100",902,64
"2015","08","ALEMANIA","29144000",186,89
"2015","08","ALEMANIA","28351000",841,13
"2015","08","ALEMANIA","28401900",1492,37
"2015","08","ALEMANIA","29335900",4565,2
"2015","08","ALEMANIA","28369990",2363,17
"2015","08","ALEMANIA","29051999",19846,6
"2015","08","ALEMANIA","31053000",112,5
"2015","08","ALEMANIA","28259000",549,15
"2015","08","ALEMANIA","28401100",4256,83
"2015","08","ALEMANIA","29209090",99484,91
"2015","08","ALEMANIA","38140090",131291,82
"2015","08","ALEMANIA","40091100",21998,8
"2015","08","ALEMANIA","85044000",1327896,92
"2015","08","ALEMANIA","48114900",16708,59
"2015","08","ALEMANIA","19053200",52007,1
"2015","08","ALEMANIA","19051000",23201,33
"2015","08","ALEMANIA","34051090",3059,94
"2015","08","ALEMANIA","85042110",2355,37
"2015","08","ALEMANIA","38112130",59870,99
"2015","08","ALEMANIA","39191090",9454,7
"2015","08","ALEMANIA","84135000",263558,54
"2015","08","ALEMANIA","56079000",1303,51
"2015","08","ALEMANIA","85441900",55,23
"2015","08","ALEMANIA","69032090",2505,8
"2015","08","ALEMANIA","90129000",245,96
"2015","08","ALEMANIA","85151900",1448,88
"2015","08","ALEMANIA","88040000",4565,23
"2015","08","ALEMANIA","69109030",1076,72
"2015","08","ALEMANIA","62113200",35,84
"2015","08","ALEMANIA","21041020",4282,14
"2015","08","ALEMANIA","09103000",1844,84
"2015","08","ALEMANIA","09102000",955,53
"2015","08","ALEMANIA","21041090",1236,56
"2015","08","ALEMANIA","12099182",603,12
"2015","08","ALEMANIA","09051000",280,98
"2015","08","ALEMANIA","48052500",33352,48
"2015","08","ALEMANIA","25010090",30492,79
"2015","08","ALEMANIA","83023000",2959,71
"2015","08","ALEMANIA","39232910",97081,5
"2015","08","ALEMANIA","62019391",9551,14
"2015","08","ALEMANIA","96170010",558,58
"2015","08","ALEMANIA","11071000",4788,96
